label,term,Estimate,SE,p_value,R2
Main,SEMANTIC_DISTANCE_L,0.005772570198245305,0.005121653755868349,0.25978358640366783,0.0012
LOO,ALT_CENTROID_A,-0.03713161117534622,0.01670062944743244,0.02625667718330458,0.0023
Personal,ALT_CENTROID_B,0.005351476017069313,0.016993718859927856,0.752850044276856,8e-4
Median_Dev,ALT_CENTROID_C,-0.004343503340833452,0.008043635735688524,0.5892375692851565,9e-4
