term,estimate,std.error,statistic,p.value,OR,OR_low,OR_high,window,n_used
pos_z,-0.11392519596295539,0.08009320685038998,-1.422407722739356,0.1549079225050037,0.8923247028760347,0.7626867508127105,1.043997912005598,2Q,3213
neg_z,-0.03619178606326299,0.07569882515420606,-0.4781023482139479,0.6325773608290177,0.9644553066582855,0.8314688168266383,1.1187118743567617,2Q,3213
pos_z,-0.08563111708970905,0.08116181659656413,-1.055066540900147,0.29139489325804324,0.9179327784889416,0.7829329039814825,1.0762104664901873,3Q,3024
neg_z,-0.01512489795097744,0.07978008320527688,-0.18958237875060321,0.8496363965030933,0.9849889088236289,0.8424054395030744,1.1517057048894117,3Q,3024
pos_z,-0.15552527523611046,0.08479792601860035,-1.8340693285587684,0.06664370362131934,0.8559654419268683,0.7248944577567275,1.0107358801451112,4Q,2835
neg_z,-0.005347077024326522,0.08329980042602832,-0.064190754323293,0.9488183391944813,0.9946671931461293,0.8448343673073194,1.171073127948766,4Q,2835
pos_z,-0.18686944137297598,0.08853876186808875,-2.1105946980757104,0.034807163782210965,0.8295520344902921,0.6973935352059975,0.9867550288141312,6Q,2457
neg_z,-0.04930609896280522,0.09314459865406517,-0.5293500608223761,0.5965626342474015,0.9518897126458056,0.793049599753948,1.1425439535207378,6Q,2457
