,coef,se,pval,OR
Intercept,1.5840295896484384,1.8902549319168924,0.4020319048373482,4.874558760312974
C(entry_quarter_str)[T.2021Q2],-1.5152232173769224,1.3310465770656912,0.25496610164315603,0.2197591253169875
C(entry_quarter_str)[T.2021Q3],3.106875920424384,2.864723495813455,0.2781302831896443,22.351108573295452
C(entry_quarter_str)[T.2021Q4],0.9661471753201306,1.7159609711583848,0.5734106186454562,2.627800475880291
C(entry_quarter_str)[T.2022Q1],-0.34559974471008864,2.9696400809747896,0.9073532448721588,0.7077957294029767
C(entry_quarter_str)[T.2022Q2],3.2558960088312934,1.9362467139755628,0.09265609835086278,25.942849145179167
C(entry_quarter_str)[T.2022Q3],2.542678179160147,1.379427727873814,0.06528743757357398,12.713674915388475
C(entry_quarter_str)[T.2022Q4],2.6180391642980867,1.335084211578346,0.04988435079078165,13.708816476711261
C(entry_quarter_str)[T.2023Q1],1.2993027313140426,1.0105231822309455,0.19852253492358352,3.6667390737221153
C(entry_quarter_str)[T.2023Q2],1.392720195883587,1.0074996109688756,0.1668633135862928,4.02578609893174
C(entry_quarter_str)[T.2023Q3],0.6476775685118762,0.9976257286827801,0.5161968385721758,1.911097278593775
C(entry_quarter_str)[T.2023Q4],0.41757337104542397,0.9759178664997663,0.6687402537483037,1.5182727970742762
fit_init,-0.9281454186176675,0.544145835391144,0.08806536449598878,0.3952861212850831
variability_init,-0.8689005487148109,1.2912158367606905,0.5009905069775791,0.4194124193725921
activity_init,0.18316529192999695,0.10456144759298966,0.07981717353735832,1.2010129094167932
reviews_init,0.2432662354244768,0.04378412472574898,2.7596773268026178e-08,1.275408137748111
price_init,0.46392062154775104,0.2530031634862536,0.06670516029865242,1.5902967301366706
superhost_init,-0.806638721941652,0.2798286773737144,0.003943874501627696,0.44635587374358354
amenity_init,-0.006778813258282914,0.01664679889091894,0.6838506569908236,0.9932441110671567
sentiment_init,7.578981905685739,10.527681215975186,0.4715804736603949,1956.6359111054207
