,coef,se,pval,OR
Intercept,-0.8939518666695517,0.9169343851043618,0.3295922643300425,0.40903609840727345
C(period_qtr)[T.2022Q1],0.14641784478642594,0.9793307292619272,0.8811527439616224,1.157679817478826
C(period_qtr)[T.2022Q2],-0.5271079364041031,1.0140105540123898,0.6031856216512658,0.5903097166135888
C(period_qtr)[T.2022Q3],-0.005271139757396107,0.9924547533473522,0.9957622841315674,0.9947427283222133
C(period_qtr)[T.2022Q4],0.613381800697667,0.9133104310492985,0.5018366246019119,1.8466659069603153
C(period_qtr)[T.2023Q1],-1.5904946508068591,1.252500893355784,0.2041362483604633,0.2038247647099171
C(period_qtr)[T.2023Q2],-0.8473724793638027,0.9347406194466673,0.3646542243573675,0.4285394502031404
C(period_qtr)[T.2023Q3],-2.112572954534116,0.988387403204359,0.03256598786135175,0.12092642761741249
C(period_qtr)[T.2023Q4],-2.751969489264428,1.1252833854599043,0.014461973557080945,0.06380207987351345
C(period_qtr)[T.2024Q1],-0.3316097435851755,0.8352351437455685,0.6913485743302782,0.7177673815285351
C(period_qtr)[T.2024Q2],-1.5079811671341683,0.882888560210025,0.08763476493482246,0.22135640876623938
C(period_qtr)[T.2024Q3],-2.4983981218893256,0.9957350206885532,0.01210394263026431,0.08221659415827248
C(period_qtr)[T.2024Q4],-1.7813451523897728,0.9142391679904557,0.051361685294425974,0.16841145576328231
C(period_qtr)[T.2025Q1],-0.3244593376790026,0.8478555541156053,0.7019553186929974,0.7229181025801719
neg_momentum_4q_lag,0.41212730066811853,0.3512223158151164,0.24063197326663455,1.5100266514955378
n_reviews_qtr_lag,-0.09041219459633107,0.02599974131707435,0.0005062514545819399,0.9135545454050324
platform_activity_lag,-0.038919885284431154,0.07949924221382774,0.6244431838139033,0.9618277626173953
sentiment_mean_qtr_lag,2.8832274128449575,4.0490686797635576,0.4764203479267437,17.871860072047493
