,coef,se,pval
Intercept,1.4980744945921334,1.813691519601437,0.4088149451295152
C(entry_quarter_str)[T.2021Q2],-1.6657242569924382,1.1970818651382582,0.16407769685687978
C(entry_quarter_str)[T.2021Q3],2.9744644963988622,3.0119694157624353,0.3233740437935262
C(entry_quarter_str)[T.2021Q4],0.9448833906149905,1.780710008502056,0.59568094790286
C(entry_quarter_str)[T.2022Q1],-0.3213115976155388,3.0339243673909104,0.9156567233870774
C(entry_quarter_str)[T.2022Q2],3.4351207536812605,2.0755910286636823,0.09792277775567666
C(entry_quarter_str)[T.2022Q3],2.7616996937598426,1.3674753176351562,0.043428953531480914
C(entry_quarter_str)[T.2022Q4],2.91576662382418,1.2706459687825458,0.021749631413717416
C(entry_quarter_str)[T.2023Q1],1.7702143705927376,0.971838314445609,0.06852918632665343
C(entry_quarter_str)[T.2023Q2],2.038541618723326,0.9788842762535531,0.03729541412154501
C(entry_quarter_str)[T.2023Q3],1.2305143766474391,0.9733081017425476,0.20613676728962782
C(entry_quarter_str)[T.2023Q4],1.0240199464594495,0.9396241104356189,0.27579300553539476
fit_init_c,-0.9714133019273273,0.5555110313715338,0.08034564182566746
variability_init_c,-0.9198290779808097,1.353366769582952,0.4967198534997763
tourist_c,-0.25281940893679855,0.3439284415355098,0.4622828234248726
fit_x_tourist,-1.1395943838530445,1.1502710379242833,0.32182323054459416
var_x_tourist,5.1329282497953885,2.804763767134735,0.0672387140798364
reviews_init,0.26247589623099565,0.04572603061926749,9.457292114205383e-09
price_init,0.4201048473926497,0.25328022724834287,0.09718506772781936
superhost_init,-0.7950975989649888,0.2815324703815111,0.004740216189537549
amenity_init,-0.014293038254040356,0.015483752242878774,0.35595554698849463
sentiment_init,4.928473808933479,10.399119946837844,0.6355485296986647
