,coef,se,pval,OR
Intercept,0.8489957114047025,1.8575933786175896,0.6476418176924457,2.3372983507594376
C(entry_quarter_str)[T.2021Q2],-1.6271520193680105,1.2759527730281854,0.20222264205337392,0.1964883731058902
C(entry_quarter_str)[T.2021Q3],3.05154148956215,2.9093760892365506,0.2942404558826568,21.147918605500475
C(entry_quarter_str)[T.2021Q4],0.697668249009477,1.7516533784933297,0.6904154947203446,2.0090626077974734
C(entry_quarter_str)[T.2022Q1],-0.45767315006521053,2.944750019143259,0.8764901906930278,0.6327542581001963
C(entry_quarter_str)[T.2022Q2],3.143946440300843,1.8875944655087178,0.09579637403215585,23.195225041234753
C(entry_quarter_str)[T.2022Q3],2.492538338306925,1.3965725860466425,0.0743012475533987,12.091930608923517
C(entry_quarter_str)[T.2022Q4],2.465204107946699,1.34360180684699,0.06653935392409259,11.765883417218761
C(entry_quarter_str)[T.2023Q1],1.2340573740360377,1.0227265570241744,0.22757284895492047,3.435138942932513
C(entry_quarter_str)[T.2023Q2],1.2994304084632533,1.0208490442866502,0.20305642867456586,3.6672072624018095
C(entry_quarter_str)[T.2023Q3],0.5403321951603745,1.0111495714913583,0.593082698294977,1.7165770060539196
C(entry_quarter_str)[T.2023Q4],0.2515450032712804,0.9903127541858185,0.799491217774556,1.2860107734533537
variability_init,-0.8879357635421818,1.2992750334985288,0.4943486717543606,0.41150431884800864
activity_init,0.19099470637932414,0.10702565496158024,0.07433119229630222,1.2104530443850767
reviews_init,0.23914898363944911,0.04419347665581782,6.253071885186903e-08,1.2701677567032401
price_init,0.45809652559358294,0.2551986753277111,0.07264439593369292,1.5810616086063929
superhost_init,-0.7615704099669077,0.27932118672862305,0.0064009123265873135,0.4669325753665302
amenity_init,-0.00918309638674834,0.01662648292124582,0.5807308879139206,0.9908589394713558
sentiment_init,5.666886180555028,10.56192435377922,0.591585968676257,289.132823829346
